Approved symbol	Approved name	Locus type
IGKV1D-43	immunoglobulin kappa variable 1D-43	immunoglobulin gene
IGKV1OR-2	immunoglobulin kappa variable 1/OR-2 (pseudogene)	immunoglobulin pseudogene
IGKV1OR-3	immunoglobulin kappa variable 1/OR-3 (pseudogene)	immunoglobulin pseudogene
IGKV1OR-4	immunoglobulin kappa variable 1/OR-4 (pseudogene)	immunoglobulin pseudogene
IGKV1OR1-1	immunoglobulin kappa variable 1/OR1-1 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-0	immunoglobulin kappa variable 1/OR2-0 (non-functional)	immunoglobulin gene
IGKV1OR2-1	immunoglobulin kappa variable 1/OR2-1 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-2	immunoglobulin kappa variable 1/OR2-2 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-3	immunoglobulin kappa variable 1/OR2-3 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-6	immunoglobulin kappa variable 1/OR2-6 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-9	immunoglobulin kappa variable 1/OR2-9 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-11	immunoglobulin kappa variable 1/OR2-11 (pseudogene)	immunoglobulin pseudogene
IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional)	immunoglobulin gene
IGKV1OR2-118	immunoglobulin kappa variable 1/OR2-118 (pseudogene)	immunoglobulin pseudogene
IGKV1OR9-1	immunoglobulin kappa variable 1/OR9-1 (pseudogene)	immunoglobulin pseudogene
IGKV1OR9-2	immunoglobulin kappa variable 1/OR9-2 (pseudogene)	immunoglobulin pseudogene
IGKV1OR10-1	immunoglobulin kappa variable 1/OR10-1 (pseudogene)	immunoglobulin pseudogene
IGKV1OR15-118	immunoglobulin kappa variable 1/OR15-118 (pseudogene)	immunoglobulin pseudogene
IGKV1OR22-1	immunoglobulin kappa variable 1/OR22-1 (pseudogene)	immunoglobulin pseudogene
IGKV1OR22-5	immunoglobulin kappa variable 1/OR22-5 (pseudogene)	immunoglobulin pseudogene
IGKV1OR22-5A	symbol withdrawn, see [HGNC:5773](/data/gene-symbol-report/#!/hgnc_id/HGNC:5773)	unknown
IGKV1ORY-1	immunoglobulin kappa variable 1/ORY-1 (pseudogene)	immunoglobulin pseudogene
IGKV2	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV2-4	immunoglobulin kappa variable 2-4 (pseudogene)	immunoglobulin pseudogene
IGKV2-10	immunoglobulin kappa variable 2-10 (pseudogene)	immunoglobulin pseudogene
IGKV2-14	immunoglobulin kappa variable 2-14 (pseudogene)	immunoglobulin pseudogene
IGKV2-18	immunoglobulin kappa variable 2-18 (pseudogene)	immunoglobulin pseudogene
IGKV2-19	immunoglobulin kappa variable 2-19 (pseudogene)	immunoglobulin pseudogene
IGKV2-23	immunoglobulin kappa variable 2-23 (pseudogene)	immunoglobulin pseudogene
IGKV2-24	immunoglobulin kappa variable 2-24	immunoglobulin gene
IGKV2-26	immunoglobulin kappa variable 2-26 (pseudogene)	immunoglobulin pseudogene
IGKV2-28	immunoglobulin kappa variable 2-28	immunoglobulin gene
IGKV2-29	immunoglobulin kappa variable 2-29 (gene/pseudogene)	immunoglobulin gene
IGKV2-30	immunoglobulin kappa variable 2-30	immunoglobulin gene
IGKV2-36	immunoglobulin kappa variable 2-36 (pseudogene)	immunoglobulin pseudogene
IGKV2-38	immunoglobulin kappa variable 2-38 (pseudogene)	immunoglobulin pseudogene
IGKV2-40	immunoglobulin kappa variable 2-40	immunoglobulin gene
IGKV2@	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV2D-10	immunoglobulin kappa variable 2D-10 (pseudogene)	immunoglobulin pseudogene
IGKV2D-14	immunoglobulin kappa variable 2D-14 (pseudogene)	immunoglobulin pseudogene
IGKV2D-18	immunoglobulin kappa variable 2D-18 (pseudogene)	immunoglobulin pseudogene
IGKV2D-19	immunoglobulin kappa variable 2D-19 (pseudogene)	immunoglobulin pseudogene
IGKV2D-23	immunoglobulin kappa variable 2D-23 (pseudogene)	immunoglobulin pseudogene
IGKV2D-24	immunoglobulin kappa variable 2D-24 (non-functional)	immunoglobulin gene
IGKV2D-26	immunoglobulin kappa variable 2D-26	immunoglobulin gene
IGKV2D-28	immunoglobulin kappa variable 2D-28	immunoglobulin gene
IGKV2D-29	immunoglobulin kappa variable 2D-29	immunoglobulin gene
IGKV2D-30	immunoglobulin kappa variable 2D-30	immunoglobulin gene
IGKV2D-36	immunoglobulin kappa variable 2D-36 (pseudogene)	immunoglobulin pseudogene
IGKV2D-38	immunoglobulin kappa variable 2D-38 (pseudogene)	immunoglobulin pseudogene
IGKV2D-40	immunoglobulin kappa variable 2D-40	immunoglobulin gene
IGKV2OR2-1	immunoglobulin kappa variable 2/OR2-1 (pseudogene)	immunoglobulin pseudogene
IGKV2OR2-1A	symbol withdrawn, see [HGNC:5805](/data/gene-symbol-report/#!/hgnc_id/HGNC:5805)	unknown
IGKV2OR2-2	immunoglobulin kappa variable 2/OR2-2 (pseudogene)	immunoglobulin pseudogene
IGKV2OR2-4	immunoglobulin kappa variable 2/OR2-4 (pseudogene)	immunoglobulin pseudogene
IGKV2OR2-7	immunoglobulin kappa variable 2/OR2-7 (pseudogene)	immunoglobulin pseudogene
IGKV2OR2-7D	immunoglobulin kappa variable 2/OR2-7D (pseudogene)	immunoglobulin pseudogene
IGKV2OR2-8	immunoglobulin kappa variable 2/OR2-8 (pseudogene)	immunoglobulin pseudogene
IGKV2OR2-10	immunoglobulin kappa variable 2/OR2-10 (pseudogene)	immunoglobulin pseudogene
IGKV2OR22-3	immunoglobulin kappa variable 2/OR22-3 (pseudogene)	immunoglobulin pseudogene
IGKV2OR22-4	immunoglobulin kappa variable 2/OR22-4 (pseudogene)	immunoglobulin pseudogene
IGKV3	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV3-7	immunoglobulin kappa variable 3-7 (non-functional)	immunoglobulin gene
IGKV3-11	immunoglobulin kappa variable 3-11	immunoglobulin gene
IGKV3-15	immunoglobulin kappa variable 3-15	immunoglobulin gene
IGKV3-20	immunoglobulin kappa variable 3-20	immunoglobulin gene
IGKV3-25	immunoglobulin kappa variable 3-25 (pseudogene)	immunoglobulin pseudogene
IGKV3-31	immunoglobulin kappa variable 3-31 (pseudogene)	immunoglobulin pseudogene
IGKV3-34	immunoglobulin kappa variable 3-34 (pseudogene)	immunoglobulin pseudogene
IGKV3@	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV3D-7	immunoglobulin kappa variable 3D-7	immunoglobulin gene
IGKV3D-11	immunoglobulin kappa variable 3D-11	immunoglobulin gene
IGKV3D-15	immunoglobulin kappa variable 3D-15 (gene/pseudogene)	immunoglobulin gene
IGKV3D-20	immunoglobulin kappa variable 3D-20	immunoglobulin gene
IGKV3D-25	immunoglobulin kappa variable 3D-25 (pseudogene)	immunoglobulin pseudogene
IGKV3D-31	immunoglobulin kappa variable 3D-31 (pseudogene)	immunoglobulin pseudogene
IGKV3D-34	immunoglobulin kappa variable 3D-34 (pseudogene)	immunoglobulin pseudogene
IGKV3OR2-5	immunoglobulin kappa variable 3/OR2-5 (pseudogene)	immunoglobulin pseudogene
IGKV3OR2-268	immunoglobulin kappa variable 3/OR2-268 (non-functional)	immunoglobulin gene
IGKV3OR2-268A	symbol withdrawn, see [HGNC:5830](/data/gene-symbol-report/#!/hgnc_id/HGNC:5830)	unknown
IGKV3OR22-2	immunoglobulin kappa variable 3/OR22-2 (pseudogene)	immunoglobulin pseudogene
IGKV4-1	immunoglobulin kappa variable 4-1	immunoglobulin gene
IGKV5-2	immunoglobulin kappa variable 5-2	immunoglobulin gene
IGKV6-21	immunoglobulin kappa variable 6-21 (non-functional)	immunoglobulin gene
IGKV6D-21	immunoglobulin kappa variable 6D-21 (non-functional)	immunoglobulin gene
IGKV6D-41	immunoglobulin kappa variable 6D-41 (non-functional)	immunoglobulin gene
IGKV7-3	immunoglobulin kappa variable 7-3 (pseudogene)	immunoglobulin pseudogene
IGKV268	symbol withdrawn, see [HGNC:5830](/data/gene-symbol-report/#!/hgnc_id/HGNC:5830)	unknown
IGKVOR2@	Immunoglobulin kappa variable orphans on chromosome 2	region
IGKVP@	symbol withdrawn, see [HGNC:5840](/data/gene-symbol-report/#!/hgnc_id/HGNC:5840)	unknown
IGKVP1	symbol withdrawn, see [HGNC:5764](/data/gene-symbol-report/#!/hgnc_id/HGNC:5764)	unknown
IGKVP2	symbol withdrawn, see [HGNC:5765](/data/gene-symbol-report/#!/hgnc_id/HGNC:5765)	unknown
IGKVP3	symbol withdrawn, see [HGNC:5833](/data/gene-symbol-report/#!/hgnc_id/HGNC:5833)	unknown
IGKVP4	symbol withdrawn, see [HGNC:5812](/data/gene-symbol-report/#!/hgnc_id/HGNC:5812)	unknown
IGKVP5	symbol withdrawn, see [HGNC:5772](/data/gene-symbol-report/#!/hgnc_id/HGNC:5772)	unknown
IGKVP6	symbol withdrawn, see [HGNC:5813](/data/gene-symbol-report/#!/hgnc_id/HGNC:5813)	unknown
IGKVP7	symbol withdrawn, see [HGNC:5773](/data/gene-symbol-report/#!/hgnc_id/HGNC:5773)	unknown
IGKVPZ1	symbol withdrawn, see [HGNC:5760](/data/gene-symbol-report/#!/hgnc_id/HGNC:5760)	unknown
IGKVPZ2	symbol withdrawn, see [HGNC:5761](/data/gene-symbol-report/#!/hgnc_id/HGNC:5761)	unknown
IGKVPZ3	symbol withdrawn, see [HGNC:5762](/data/gene-symbol-report/#!/hgnc_id/HGNC:5762)	unknown
IGKVPZ4	symbol withdrawn, see [HGNC:5763](/data/gene-symbol-report/#!/hgnc_id/HGNC:5763)	unknown
IGL	immunoglobulin lambda locus	gene with protein product
IGLC@	immunoglobulin lambda constant cluster	region
IGLC1	immunoglobulin lambda constant 1	immunoglobulin gene
IGLC2	immunoglobulin lambda constant 2	immunoglobulin gene
IGLC3	immunoglobulin lambda constant 3 (Kern-Oz+ marker)	immunoglobulin gene
IGLC4	immunoglobulin lambda constant 4 (pseudogene)	immunoglobulin pseudogene
IGLC5	immunoglobulin lambda constant 5 (pseudogene)	immunoglobulin pseudogene
IGLC6	immunoglobulin lambda constant 6 (gene/pseudogene)	immunoglobulin gene
IGLC7	immunoglobulin lambda constant 7	immunoglobulin gene
IGLCOR22-1	immunoglobulin lambda constant/OR22-1 (pseudogene)	immunoglobulin pseudogene
IGLCOR22-2	immunoglobulin lambda constant/OR22-2 (pseudogene)	immunoglobulin pseudogene
IGLJ@	immunoglobulin lambda joining cluster	region
IGLJ1	immunoglobulin lambda joining 1	immunoglobulin gene
IGLJ2	immunoglobulin lambda joining 2	immunoglobulin gene
IGLJ3	immunoglobulin lambda joining 3	immunoglobulin gene
IGLJ4	immunoglobulin lambda joining 4 (non-functional)	immunoglobulin gene
IGLJ5	immunoglobulin lambda joining 5 (non-functional)	immunoglobulin gene
IGLJ6	immunoglobulin lambda joining 6	immunoglobulin gene
IGLJ7	immunoglobulin lambda joining 7	immunoglobulin gene
IGLJCOR18	immunoglobulin lambda joining-constant/OR18 (pseudogene)	immunoglobulin pseudogene
IGLL1	immunoglobulin lambda like polypeptide 1	gene with protein product
IGLL2P	immunoglobulin lambda like polypeptide 2, pseudogene	pseudogene
IGLL3P	immunoglobulin lambda like polypeptide 3, pseudogene	pseudogene
IGLL4P	immunoglobulin lambda like polypeptide 4, pseudogene	pseudogene
IGLL5	immunoglobulin lambda like polypeptide 5	gene with protein product
IGLON5	IgLON family member 5	gene with protein product
IGLP1	immune response to synthetic polypeptides 1	phenotype only
IGLP2	immune response to synthetic polypeptides 2	phenotype only
IGLV@	immunoglobulin lambda variable cluster	region
IGLV1-36	immunoglobulin lambda variable 1-36	immunoglobulin gene
IGLV1-40	immunoglobulin lambda variable 1-40	immunoglobulin gene
IGLV1-41	immunoglobulin lambda variable 1-41 (pseudogene)	immunoglobulin pseudogene
IGLV1-44	immunoglobulin lambda variable 1-44	immunoglobulin gene
IGLV1-47	immunoglobulin lambda variable 1-47	immunoglobulin gene
IGLV1-50	immunoglobulin lambda variable 1-50 (non-functional)	immunoglobulin gene
IGLV1-51	immunoglobulin lambda variable 1-51	immunoglobulin gene
IGLV1-62	immunoglobulin lambda variable 1-62 (pseudogene)	immunoglobulin pseudogene
IGLV2-5	immunoglobulin lambda variable 2-5 (pseudogene)	immunoglobulin pseudogene
IGLV2-8	immunoglobulin lambda variable 2-8	immunoglobulin gene
IGLV2-11	immunoglobulin lambda variable 2-11	immunoglobulin gene
IGLV2-14	immunoglobulin lambda variable 2-14	immunoglobulin gene
IGLV2-18	immunoglobulin lambda variable 2-18	immunoglobulin gene
IGLV2-23	immunoglobulin lambda variable 2-23	immunoglobulin gene
IGLV2-28	immunoglobulin lambda variable 2-28 (pseudogene)	immunoglobulin pseudogene
IGLV2-33	immunoglobulin lambda variable 2-33 (non-functional)	immunoglobulin gene
IGLV2-34	immunoglobulin lambda variable 2-34 (pseudogene)	immunoglobulin pseudogene
IGLV3-1	immunoglobulin lambda variable 3-1	immunoglobulin gene
IGLV3-2	immunoglobulin lambda variable 3-2 (pseudogene)	immunoglobulin pseudogene
IGLV3-4	immunoglobulin lambda variable 3-4 (pseudogene)	immunoglobulin pseudogene
IGLV3-6	immunoglobulin lambda variable 3-6 (pseudogene)	immunoglobulin pseudogene
IGLV3-7	immunoglobulin lambda variable 3-7 (pseudogene)	immunoglobulin pseudogene
IGLV3-9	immunoglobulin lambda variable 3-9 (gene/pseudogene)	immunoglobulin gene
IGLV3-10	immunoglobulin lambda variable 3-10	immunoglobulin gene
IGLV3-12	immunoglobulin lambda variable 3-12	immunoglobulin gene
IGLV3-13	immunoglobulin lambda variable 3-13 (pseudogene)	immunoglobulin pseudogene
IGLV3-15	immunoglobulin lambda variable 3-15 (pseudogene)	immunoglobulin pseudogene
IGLV3-16	immunoglobulin lambda variable 3-16	immunoglobulin gene
IGLV3-17	immunoglobulin lambda variable 3-17 (pseudogene)	immunoglobulin pseudogene
IGLV3-19	immunoglobulin lambda variable 3-19	immunoglobulin gene
IGLV3-21	immunoglobulin lambda variable 3-21	immunoglobulin gene
IGLV3-22	immunoglobulin lambda variable 3-22 (gene/pseudogene)	immunoglobulin gene
IGLV3-24	immunoglobulin lambda variable 3-24 (pseudogene)	immunoglobulin pseudogene
IGLV3-25	immunoglobulin lambda variable 3-25	immunoglobulin gene
IGLV3-26	immunoglobulin lambda variable 3-26 (pseudogene)	immunoglobulin pseudogene
IGLV3-27	immunoglobulin lambda variable 3-27	immunoglobulin gene
IGLV3-29	immunoglobulin lambda variable 3-29 (pseudogene)	immunoglobulin pseudogene
IGLV3-30	immunoglobulin lambda variable 3-30 (pseudogene)	immunoglobulin pseudogene
IGLV3-31	immunoglobulin lambda variable 3-31 (pseudogene)	immunoglobulin pseudogene
IGLV3-32	immunoglobulin lambda variable 3-32 (non-functional)	immunoglobulin gene
IGLV4-3	immunoglobulin lambda variable 4-3	immunoglobulin gene
IGLV4-60	immunoglobulin lambda variable 4-60	immunoglobulin gene
IGLV4-69	immunoglobulin lambda variable 4-69	immunoglobulin gene
IGLV5-37	immunoglobulin lambda variable 5-37	immunoglobulin gene
IGLV5-39	immunoglobulin lambda variable 5-39	immunoglobulin gene
IGLV5-45	immunoglobulin lambda variable 5-45	immunoglobulin gene
IGLV5-48	immunoglobulin lambda variable 5-48 (non-functional)	immunoglobulin gene
IGLV5-52	immunoglobulin lambda variable 5-52	immunoglobulin gene
IGLV6-57	immunoglobulin lambda variable 6-57	immunoglobulin gene
IGLV7-35	immunoglobulin lambda variable 7-35 (pseudogene)	immunoglobulin pseudogene
IGLV7-43	immunoglobulin lambda variable 7-43	immunoglobulin gene
IGLV7-46	immunoglobulin lambda variable 7-46 (gene/pseudogene)	immunoglobulin gene
IGLV8-61	immunoglobulin lambda variable 8-61	immunoglobulin gene
IGLV8OR8-1	immunoglobulin lambda variable 8/OR8-1 (pseudogene)	immunoglobulin pseudogene
IGLV9-49	immunoglobulin lambda variable 9-49	immunoglobulin gene
IGLV10-54	immunoglobulin lambda variable 10-54	immunoglobulin gene
IGLV10-67	immunoglobulin lambda variable 10-67 (pseudogene)	immunoglobulin pseudogene
IGLV11-55	immunoglobulin lambda variable 11-55 (non-functional)	immunoglobulin gene
IGLVI-20	immunoglobulin lambda variable (I)-20 (pseudogene)	immunoglobulin pseudogene
IGLVI-38	immunoglobulin lambda variable (I)-38 (pseudogene)	immunoglobulin pseudogene
IGLVI-42	immunoglobulin lambda variable (I)-42 (pseudogene)	immunoglobulin pseudogene
IGLVI-56	immunoglobulin lambda variable (I)-56 (pseudogene)	immunoglobulin pseudogene
IGLVI-63	immunoglobulin lambda variable (I)-63 (pseudogene)	immunoglobulin pseudogene
IGLVI-68	immunoglobulin lambda variable (I)-68 (pseudogene)	immunoglobulin pseudogene
IGLVI-70	immunoglobulin lambda variable (I)-70 (pseudogene)	immunoglobulin pseudogene
IGLVIV-53	immunoglobulin lambda variable (IV)-53 (pseudogene)	immunoglobulin pseudogene
IGLVIV-59	immunoglobulin lambda variable (IV)-59 (pseudogene)	immunoglobulin pseudogene
IGLVIV-64	immunoglobulin lambda variable (IV)-64 (pseudogene)	immunoglobulin pseudogene
IGLVIV-65	immunoglobulin lambda variable (IV)-65 (pseudogene)	immunoglobulin pseudogene
IGLVIV-66-1	immunoglobulin lambda variable (IV)-66-1 (pseudogene)	immunoglobulin pseudogene
IGLVIVOR22-1	immunoglobulin lambda variable (IV)/OR22-1 (pseudogene)	immunoglobulin pseudogene
IGLVIVOR22-2	immunoglobulin lambda variable (IV)/OR22-2 (pseudogene)	immunoglobulin pseudogene
IGLVV-58	immunoglobulin lambda variable (V)-58 (pseudogene)	immunoglobulin pseudogene
IGLVV-66	immunoglobulin lambda variable (V)-66 (pseudogene)	immunoglobulin pseudogene
IGLVVI-22-1	immunoglobulin lambda variable (VI)-22-1 (pseudogene)	immunoglobulin pseudogene
IGLVVI-25-1	immunoglobulin lambda variable (VI)-25-1 (pseudogene)	immunoglobulin pseudogene
IGLVVII-41-1	immunoglobulin lambda variable (VII)-41-1 (pseudogene)	immunoglobulin pseudogene
IGO1	symbol withdrawn, see [HGNC:4640](/data/gene-symbol-report/#!/hgnc_id/HGNC:4640)	unknown
IGSF1	immunoglobulin superfamily member 1	gene with protein product
IGSF3	immunoglobulin superfamily member 3	gene with protein product
IGSF5	immunoglobulin superfamily member 5	gene with protein product
IGSF6	immunoglobulin superfamily member 6	gene with protein product
IGSF8	immunoglobulin superfamily member 8	gene with protein product
IGSF9	immunoglobulin superfamily member 9	gene with protein product
IGSF9B	immunoglobulin superfamily member 9B	gene with protein product
IGSF10	immunoglobulin superfamily member 10	gene with protein product
IGSF11	immunoglobulin superfamily member 11	gene with protein product
IGSF11-AS1	IGSF11 antisense RNA 1	RNA, long non-coding
IGSF21	immunoglobin superfamily member 21	gene with protein product
IGSF21-AS1	IGSF21 antisense RNA 1	RNA, long non-coding
IGSF22	immunoglobulin superfamily member 22	gene with protein product
IGSF23	immunoglobulin superfamily member 23	gene with protein product
IHG1	iris hypoplasia with glaucoma 1	phenotype only
IHG2	symbol withdrawn, see [HGNC:9005](/data/gene-symbol-report/#!/hgnc_id/HGNC:9005)	unknown
IHH	Indian hedgehog signaling molecule	gene with protein product
II	symbol withdrawn, see [HGNC:4204](/data/gene-symbol-report/#!/hgnc_id/HGNC:4204)	unknown
IK	IK cytokine	gene with protein product
IKBIP	IKBKB interacting protein	gene with protein product
IKBKAP-IT1	IKBKAP intronic transcript 1 (non-protein coding)	RNA, long non-coding
IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	gene with protein product
IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	gene with protein product
IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	gene with protein product
IKBKGP1	inhibitor of nuclear factor kappa B kinase subunit gamma pseudogene 1	pseudogene
IKZF1	IKAROS family zinc finger 1	gene with protein product
IKZF2	IKAROS family zinc finger 2	gene with protein product
IKZF3	IKAROS family zinc finger 3	gene with protein product
IKZF4	IKAROS family zinc finger 4	gene with protein product
IKZF5	IKAROS family zinc finger 5	gene with protein product
IL1A	interleukin 1 alpha	gene with protein product
IL1B	interleukin 1 beta	gene with protein product
IL1F10	interleukin 1 family member 10	gene with protein product
IL1R1	interleukin 1 receptor type 1	gene with protein product
IL1R1-AS1	IL1R1 antisense RNA 1	RNA, long non-coding
IL1R2	interleukin 1 receptor type 2	gene with protein product
IL1RAP	interleukin 1 receptor accessory protein	gene with protein product
IL1RAPL1	interleukin 1 receptor accessory protein like 1	gene with protein product
IL1RAPL2	interleukin 1 receptor accessory protein like 2	gene with protein product
IL1RL1	interleukin 1 receptor like 1	gene with protein product
IL1RL2	interleukin 1 receptor like 2	gene with protein product
IL1RN	interleukin 1 receptor antagonist	gene with protein product
IL2	interleukin 2	gene with protein product
